,name,mana_cost,cmc,oracle_text,power,toughness,prices,set
160,"Hixus, Prison Warden",{3}{W}{W},5.0,Flash (You may cast this spell any time you could cast an instant.) Whenever a creature deals combat damage to you  if This Card entered the battlefield this turn  exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.),4,4,0.10,ori
161,Shoreline Salvager,{3}{B},4.0,Whenever This Card deals combat damage to a player  if you control an Island  you may draw a card.,3,3,0.04,wwk
162,Mistform Wall,{2}{U},3.0,This Card has defender as long as it's a Wall. {1}: This Card becomes the creature type of your choice until end of turn.,1,4,0.10,ons
163,Sage of the Inward Eye,{2}{U}{R}{W},5.0,Flying Whenever you cast a noncreature spell  creatures you control gain lifelink until end of turn.,3,4,0.13,ktk
164,Blind Creeper,{1}{B},2.0,Whenever a player casts a spell  This Card gets -1/-1 until end of turn.,3,3,0.06,5dn
165,Contagious Nim,{2}{B},3.0,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),2,2,0.23,som
166,Broodhunter Wurm,{3}{G},4.0,_,4,3,0.02,bfz
167,Walker of the Grove,{6}{G}{G},8.0,When This Card leaves the battlefield  create a 4/4 green Elemental creature token. Evoke {4}{G} (You may cast this spell for its evoke cost. If you do  it's sacrificed when it enters the battlefield.),7,7,0.05,uma
168,Midnight Entourage,{2}{B}{B},4.0,Other Aetherborn you control get +1/+1. Whenever This Card or another Aetherborn you control dies  you draw a card and you lose 1 life.,3,3,0.07,aer
169,Catapult Master,{3}{W}{W},5.0,Tap five untapped Soldiers you control: Exile target creature.,3,3,0.46,ddf
170,Chief Engineer,{1}{U},2.0,Artifact spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting an artifact spell pays for {1} or one mana of that creature's color.),1,3,0.56,c16
171,Coast Watcher,{1}{U},2.0,Flying  protection from green,1,1,0.10,scg
172,Goblin Cruciverbalist,{2}{R},3.0,Haste When This Card enters the battlefield  create a colorless artifact token named your choice of A  E  I  O  or U. Whenever This Card attacks  using the first letters of names of permanents you control  spell a word you haven't spelled this game. It gets +1/+0 until end of turn for each letter in that word.,1,4,0.09,unf
173,Park Bleater,{2}{W},3.0,Whenever another creature you own enters the battlefield  you get {TK}. {W}  {T}: You may put a sticker on a creature you own that entered the battlefield this turn.,2,2,0.06,unf
174,Angel of Destiny,{3}{W}{W},5.0,Flying  double strike Whenever a creature you control deals combat damage to a player  you and that player each gain that much life. At the beginning of your end step  if you have at least 15 life more than your starting life total  each player This Card attacked this turn loses the game.,2,6,4.74,znr
175,Marsh Flitter,{3}{B},4.0,Flying When This Card enters the battlefield  create two 1/1 black Goblin Rogue creature tokens. Sacrifice a Goblin: This Card has base power and toughness 3/3 until end of turn.,1,1,0.07,znc
176,Smolder Initiate,{B},1.0,Whenever a player casts a black spell  you may pay {1}. If you do  target player loses 1 life.,1,1,0.10,shm
177,Makeshift Mauler,{3}{U},4.0,As an additional cost to cast this spell  exile a creature card from your graveyard.,4,5,0.03,2x2
178,"Astarion, the Decadent",{4}{W}{B},6.0,Deathtouch  lifelink At the beginning of your end step  choose one — • Feed — Target opponent loses life equal to the amount of life they lost this turn. • Friends — You gain life equal to the amount of life you gained this turn.,4,4,0.19,clb
179,Matopi Golem,{5},5.0,{1}: Regenerate This Card. When it regenerates this way  put a -1/-1 counter on it.,3,3,0.13,vis
180,"Jiwari, the Earth Aflame",{3}{R}{R},5.0,{X}{R}  {T}: This Card deals X damage to target creature without flying. Channel — {X}{R}{R}{R}  Discard Jiwari: Jiwari deals X damage to each creature without flying.,3,3,0.25,sok
181,Numai Outcast,{3}{B},4.0,Bushido 2 (Whenever this creature blocks or becomes blocked  it gets +2/+2 until end of turn.) {B}  Pay 5 life: Regenerate This Card.,1,1,0.16,chk
182,Mountain Goat,{R},1.0,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),1,1,0.04,6ed
183,Blood Cultist,{1}{B}{R},3.0,{T}: This Card deals 1 damage to target creature. Whenever a creature dealt damage by This Card this turn dies  put a +1/+1 counter on This Card.,1,1,0.23,ala
184,Karok Wrangler,{4}{G},5.0,Magecraft — Whenever you cast or copy an instant or sorcery spell  put a +1/+1 counter on target creature you control.,3,3,0.03,stx
185,Haunted Dead,{3}{B},4.0,When This Card enters the battlefield  create a 1/1 white Spirit creature token with flying. {1}{B}  Discard two cards: Return This Card from your graveyard to the battlefield tapped.,2,2,0.14,emn
186,Muck Drubb,{3}{B}{B},5.0,Flash When This Card enters the battlefield  change the target of target spell that targets only a single creature to This Card. Madness {2}{B} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),3,3,0.12,tsr
187,Aggressive Mammoth,{3}{G}{G}{G},6.0,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Other creatures you control have trample.,8,8,0.44,m20
188,Caustic Hound,{5}{B},6.0,When This Card dies  each player loses 4 life.,4,4,0.02,mbs
189,Reclamation Sage,{2}{G},3.0,When This Card enters the battlefield  you may destroy target artifact or enchantment.,2,1,0.25,khc
190,Yew Spirit,{4}{G},5.0,{2}{G}{G}: This Card gets +X/+X until end of turn  where X is its power.,3,3,0.09,avr
191,Torrent Elemental,{4}{U},5.0,Flying Whenever This Card attacks  tap all creatures defending player controls. {3}{B/G}{B/G}: Put This Card from exile onto the battlefield tapped. Activate only as a sorcery.,3,5,0.34,frf
192,Engulfing Slagwurm,{5}{G}{G},7.0,Whenever This Card blocks or becomes blocked by a creature  destroy that creature. You gain life equal to that creature's toughness.,7,7,1.39,som
193,Wingrattle Scarecrow,{3},3.0,This Card has flying as long as you control a blue creature. This Card has persist as long as you control a black creature. (When this creature dies  if it had no -1/-1 counters on it  return it to the battlefield under its owner's control with a -1/-1 counter on it.),2,2,0.32,shm
194,Goblin Chainwhirler,{R}{R}{R},3.0,First strike When This Card enters the battlefield  it deals 1 damage to each opponent and each creature and planeswalker they control.,3,3,1.20,dom
195,Arcbound Wanderer,{6},6.0,Modular—Sunburst (This creature enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it. When it dies  you may put its +1/+1 counters on target artifact creature.),0,0,0.13,mma
196,Foul Emissary,{2}{G},3.0,When This Card enters the battlefield  look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order. When you sacrifice This Card while casting a spell with emerge  create a 3/2 colorless Eldrazi Horror creature token.,1,1,0.06,emn
197,Bog Rats,{B},1.0,This Card can't be blocked by Walls.,1,1,0.15,6ed
198,Merrow Harbinger,{3}{U},4.0,Islandwalk (This creature can't be blocked as long as defending player controls an Island.) When This Card enters the battlefield  you may search your library for a Merfolk card  reveal it  then shuffle and put that card on top.,2,3,1.21,lrw
199,Frostpeak Yeti,{3}{U},4.0,{1}{S}: This Card can't be blocked this turn. ({S} can be paid with one mana from a snow source.),3,3,0.01,khm
200,Faerie Formation,{4}{U},5.0,Flying {3}{U}: Create a 1/1 blue Faerie creature token with flying. Draw a card.,5,4,1.28,eld
201,"Karlach, Fury of Avernus",{4}{R},5.0,Whenever you attack  if it's the first combat phase of the turn  untap all attacking creatures. They gain first strike until end of turn. After this phase  there is an additional combat phase. Choose a Background (You can have a Background as a second commander.),5,4,3.10,clb
202,Sharuum the Hegemon,{3}{W}{U}{B},6.0,Flying When This Card enters the battlefield  you may return target artifact card from your graveyard to the battlefield.,5,5,0.42,2xm
203,Unliving Psychopath,{2}{B}{B},4.0,{B}: This Card gets +1/-1 until end of turn. {B}  {T}: Destroy target creature with power less than This Card's power.,0,4,0.24,dis
204,Herd Baloth,{3}{G}{G},5.0,Whenever one or more +1/+1 counters are put on This Card  you may create a 4/4 green Beast creature token.,4,4,0.12,mh2
205,Patron of the Nezumi,{5}{B}{B},7.0,Rat offering (You may cast this card any time you could cast an instant by sacrificing a Rat and paying the difference in mana costs between this and the sacrificed Rat. Mana cost includes color.) Whenever a permanent is put into an opponent's graveyard  that player loses 1 life.,6,6,0.34,cm2
206,Loafing Giant,{4}{R},5.0,Whenever This Card attacks or blocks  mill a card. If a land card was milled this way  prevent all combat damage This Card would deal this turn.,4,6,0.28,inv
207,Sunflare Shaman,{1}{R},2.0,{1}{R}  {T}: This Card deals X damage to any target and X damage to itself  where X is the number of Elemental cards in your graveyard.,2,1,0.10,mor
208,Guardian Gladewalker,{1}{G},2.0,Changeling (This card is every creature type.) When This Card enters the battlefield  put a +1/+1 counter on target creature.,1,1,0.07,khm
209,"Rakdos, the Showstopper",{4}{B}{R},6.0,Flying  trample When This Card enters the battlefield  flip a coin for each creature that isn't a Demon  Devil  or Imp. Destroy each creature whose coin comes up tails.,6,6,8.25,rna
210,Anavolver,{3}{G},4.0,"Kicker {1}{U} and/or {B} (You may pay an additional {1}{U} and/or {B} as you cast this spell.) If This Card was kicked with its {1}{U} kicker  it enters the battlefield with two +1/+1 counters on it and with flying. If This Card was kicked with its {B} kicker  it enters the battlefield with a +1/+1 counter on it and with ""Pay 3 life: Regenerate This Card.""",3,3,0.22,apc
211,Borderland Minotaur,{2}{R}{R},4.0,_,4,3,0.03,jmp
212,Barbtooth Wurm,{5}{G},6.0,_,6,4,0.26,s99
213,Sanguine Spy,{2}{B},3.0,Menace  lifelink {1}  Sacrifice another creature: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.) At the beginning of your end step  if there are five or more mana values among cards in your graveyard  you may pay 2 life. If you do  draw a card.,2,3,0.14,snc
214,Coral Commando,{2}{U},3.0,_,3,2,0.02,rna
215,"Stenn, Paranoid Partisan",{W}{U},2.0,As This Card enters the battlefield  choose a card type other than creature or land. Spells you cast of the chosen type cost {1} less to cast. {1}{W}{U}: Exile Stenn. Return it to the battlefield under its owner's control at the beginning of the next end step.,2,2,0.32,dmu
216,Drumbellower,{2}{W},3.0,Flying Untap all creatures you control during each other player's untap step.,2,1,3.66,nec
217,Vernadi Shieldmate,{1}{G/W},2.0,Vigilance,2,2,0.06,grn
218,Soratami Mirror-Mage,{3}{U},4.0,Flying {3}  Return three lands you control to their owner's hand: Return target creature to its owner's hand.,2,1,0.22,chk
219,Checkpoint Officer,{1}{W},2.0,{1}{W}  {T}: Tap target creature.,1,2,0.02,iko
220,Venom Connoisseur,{1}{G},2.0,Alliance — Whenever another creature enters the battlefield under your control  This Card gains deathtouch until end of turn. If this is the second time this ability has resolved this turn  all creatures you control gain deathtouch until end of turn.,2,2,0.06,snc
221,Mourning Thrull,{1}{W/B},2.0,({W/B} can be paid with either {W} or {B}.) Flying Whenever This Card deals damage  you gain that much life.,1,1,0.09,gpt
222,Lore Weaver,{3}{U},4.0,Partner with Ley Weaver (When this creature enters the battlefield  target player may put Ley Weaver into their hand from their library  then shuffle.) {5}{U}{U}: Target player draws two cards.,2,2,0.15,bbd
223,Brighthearth Banneret,{1}{R},2.0,Elemental spells and Warrior spells you cast cost {1} less to cast. Reinforce 1—{1}{R} ({1}{R}  Discard this card: Put a +1/+1 counter on target creature.),1,1,0.28,mor
224,Professional Face-Breaker,{2}{R},3.0,Menace Whenever one or more creatures you control deal combat damage to a player  create a Treasure token. Sacrifice a Treasure: Exile the top card of your library. You may play that card this turn.,2,3,3.64,snc
225,"Gorex, the Tombshell",{6}{B}{B},8.0,As an additional cost to cast this spell  you may exile any number of creature cards from your graveyard. This spell costs {2} less to cast for each card exiled this way. Deathtouch Whenever This Card attacks or dies  choose a card at random exiled with Gorex and put that card into its owner's hand.,4,4,0.23,mic
226,"Zegana, Utopian Speaker",{2}{G}{U},4.0,When This Card enters the battlefield  if you control another creature with a +1/+1 counter on it  draw a card. {4}{G}{U}: Adapt 4. (If this creature has no +1/+1 counters on it  put four +1/+1 counters on it.) Each creature you control with a +1/+1 counter on it has trample.,4,4,0.32,rna
227,Magister of Worth,{4}{W}{B},6.0,Flying Will of the council — When This Card enters the battlefield  starting with you  each player votes for grace or condemnation. If grace gets more votes  each player returns each creature card from their graveyard to the battlefield. If condemnation gets more votes or the vote is tied  destroy all creatures other than This Card.,4,4,0.20,c21
228,Krosan Beast,{3}{G},4.0,Threshold — This Card gets +7/+7 as long as seven or more cards are in your graveyard.,1,1,4.34,ody
229,Burning Shield Askari,{2}{R},3.0,Flanking (Whenever a creature without flanking blocks this creature  the blocking creature gets -1/-1 until end of turn.) {R}{R}: This Card gains first strike until end of turn.,2,2,0.08,mir
